priority_ratio,package_ratio,real_package_ratio,total_orders,complete_orders,complete_orders_percentage,orders_with_priority_1,complete_orders_with_priority_1,complete_orders_with_priority_1_percentage,orders_with_priority_2,complete_orders_with_priority_2,complete_orders_with_priority_2_percentage,Total_time_between_order_and_delivery_prio1,Total_time_between_order_and_delivery_prio2,total_wait_time_sec,total_delay_time_sec,total_req_time_sec,total_time_sec,avg_dist_traveled_km,avg_empty_dist_traveled_km,avg_rebl_dist_traveled_km,avg_time_traveled_s,avg_empty_time_traveled_s,avg_rebl_time_traveled_s
1.0,0.05,0.05241935483870968,3654,3263,89.29939792008757,182,164,90.10989010989012,3472,3099,89.25691244239631,28.06646138211381,27.795091803807694,1234615.4000000013,2217536.8300000005,1992241.1200000006,5444393.350000002,392.8157782735632,44.86013566171711,39.10769398401308,77782.38566666671,9281.026000000002,5269.913
1.0,0.10,0.11097598054119794,3654,3354,91.78981937602627,365,341,93.42465753424658,3289,3013,91.60839160839161,26.19536608015641,27.317206881292215,1240385.8399999999,2198622.1000000024,2035353.9100000046,5474361.850000007,389.9105220334266,42.787355523773165,32.25410565324676,77725.16800000005,9142.032000000001,4337.510666666667
1.0,0.15,0.17567567567567569,3654,3296,90.20251778872469,546,505,92.4908424908425,3108,2791,89.8005148005148,26.7451425742574,27.6589476292846,1235295.4999999972,2213233.67,1993616.0200000019,5442145.1899999995,392.2085926514452,44.41519736693279,36.65604883336739,77645.86566666672,9179.369333333334,5086.6483333333335
1.0,0.20,0.2500855285665412,3654,3272,89.54570333880679,731,658,90.01367989056088,2923,2614,89.42866917550462,27.1565668693009,27.65278640652897,1222922.0400000005,2180681.57,2005600.6700000032,5409204.280000003,392.37016533480517,46.358392156046456,37.9313920956753,77673.46033333341,9605.937000000002,5234.601
1.0,0.25,0.33357664233576645,3654,3267,89.4088669950739,914,833,91.13785557986871,2740,2434,88.83211678832117,27.622810724289717,27.582130786086022,1225446.8499999987,2181900.9800000014,2001334.630000003,5408682.460000003,393.0720493819598,43.14917375389828,40.58870293271881,77772.54500000009,9100.529666666669,5609.4113333333335
1.0,0.30,0.42790152403282533,3654,3308,90.53092501368363,1095,987,90.13698630136986,2559,2321,90.69949198905823,27.49608004052687,27.212542079563423,1220418.7300000007,2190480.0200000014,2007037.7200000014,5417936.470000003,391.45889173550194,44.94238080335608,34.508353672939265,77687.94900000007,9287.668,4814.102333333332
1.0,0.35,0.5378787878787878,3654,3302,90.36672140120416,1278,1149,89.90610328638498,2376,2153,90.61447811447812,27.629767914128212,27.298848428549306,1240286.3200000015,2185104.0899999994,2005871.029999998,5431261.4399999995,391.92160320833807,44.83957176774928,35.85031914041023,77713.98500000006,9273.160666666665,5109.202333333334
1.0,0.40,0.666970802919708,3654,3319,90.831964969896,1462,1318,90.15047879616964,2192,2001,91.28649635036497,27.356914643399104,27.49046493419952,1248435.5999999982,2202279.55,2013174.8799999976,5463890.029999996,389.6286535230649,45.87260661785758,33.07663344041793,77628.76533333345,9672.773333333329,4314.066333333333
1.0,0.45,0.817910447761194,3654,3263,89.29939792008757,1644,1457,88.62530413625304,2010,1806,89.85074626865672,27.60133104552735,28.024494370616473,1236246.2299999995,2219997.420000002,1993398.9200000002,5449642.570000001,394.6381555260025,43.85549276260905,40.19930966656728,77780.17966666677,9029.718333333332,5422.924999999999
1.0,0.50,1.0,3654,3300,90.311986863711,1827,1675,91.68035030103995,1827,1625,88.94362342638205,27.56247184079603,27.554440410256415,1243239.33,2198761.2300000004,2014585.8000000007,5456586.360000001,390.52731362379706,45.264315515165194,33.48283805778636,77724.00366666673,9332.907999999998,4640.539333333333
