ptime,onid,dnid,prio
2023-03-13 00:00:21.343874,1502.0,2494.0,1
2023-03-13 00:00:42.687748,2602.0,3163.0,1
2023-03-13 00:01:04.031622,448.0,1611.0,1
2023-03-13 00:01:25.375496,1040.0,535.0,1
2023-03-13 00:01:46.719370,2817.0,873.0,1
2023-03-13 00:02:08.063244,2106.0,1043.0,1
2023-03-13 00:02:29.407118,1899.0,1233.0,1
2023-03-13 00:02:50.750992,2389.0,1986.0,1
2023-03-13 00:03:12.094866,728.0,1453.0,1
2023-03-13 00:03:33.438740,3066.0,1072.0,1
2023-03-13 00:03:54.782614,1905.0,2054.0,1
2023-03-13 00:04:16.126488,2769.0,2157.0,1
2023-03-13 00:04:37.470362,2314.0,1570.0,1
2023-03-13 00:04:58.814236,1336.0,1068.0,1
2023-03-13 00:05:20.158110,1784.0,1107.0,1
2023-03-13 00:05:41.501984,843.0,1360.0,1
2023-03-13 00:06:02.845858,2948.0,2518.0,1
2023-03-13 00:06:24.189732,1675.0,1525.0,1
2023-03-13 00:06:45.533606,1395.0,585.0,2
2023-03-13 00:07:06.877480,1691.0,1684.0,2
2023-03-13 00:07:28.221354,1742.0,2168.0,2
2023-03-13 00:07:49.565228,2947.0,2341.0,2
2023-03-13 00:08:10.909102,705.0,1865.0,2
2023-03-13 00:08:32.252976,1145.0,2173.0,2
2023-03-13 00:08:53.596850,2953.0,2165.0,2
2023-03-13 00:09:14.940724,832.0,1145.0,2
2023-03-13 00:09:36.284598,1678.0,1507.0,2
2023-03-13 00:09:57.628472,2078.0,2232.0,2
2023-03-13 00:10:18.972346,996.0,670.0,2
2023-03-13 00:10:40.316220,781.0,1260.0,2
2023-03-13 00:11:01.660094,3532.0,3663.0,2
2023-03-13 00:11:23.003968,957.0,534.0,2
2023-03-13 00:11:44.347842,2845.0,1059.0,2
2023-03-13 00:12:05.691716,612.0,1829.0,2
2023-03-13 00:12:27.035590,2754.0,308.0,2
2023-03-13 00:12:48.379464,952.0,2121.0,2
2023-03-13 00:13:09.723338,2403.0,1826.0,2
2023-03-13 00:13:31.067212,836.0,33.0,2
2023-03-13 00:13:52.411086,1274.0,919.0,1
2023-03-13 00:14:13.754960,2379.0,1783.0,1
2023-03-13 00:14:35.098834,376.0,1554.0,1
2023-03-13 00:14:56.442708,1004.0,1124.0,1
2023-03-13 00:15:17.786582,2388.0,1202.0,1
2023-03-13 00:15:39.130456,1566.0,2655.0,1
2023-03-13 00:16:00.474330,311.0,687.0,1
2023-03-13 00:16:21.818204,650.0,152.0,1
2023-03-13 00:16:43.162078,2301.0,2190.0,1
2023-03-13 00:17:04.505952,1407.0,1145.0,1
2023-03-13 00:17:25.849826,1474.0,938.0,1
2023-03-13 00:17:47.193700,1468.0,454.0,1
2023-03-13 00:18:08.537574,1525.0,1751.0,1
2023-03-13 00:18:29.881448,517.0,1350.0,1
2023-03-13 00:18:51.225322,731.0,136.0,1
2023-03-13 00:19:12.569196,2948.0,1663.0,1
2023-03-13 00:19:33.913070,2495.0,1929.0,1
2023-03-13 00:19:55.256944,1566.0,880.0,2
2023-03-13 00:20:16.600818,1122.0,1899.0,2
2023-03-13 00:20:37.944692,2157.0,1163.0,2
2023-03-13 00:20:59.288566,1167.0,2947.0,2
2023-03-13 00:21:20.632440,592.0,2770.0,2
2023-03-13 00:21:41.976314,836.0,1784.0,2
2023-03-13 00:22:03.320188,1551.0,2929.0,2
2023-03-13 00:22:24.664062,1655.0,2043.0,2
2023-03-13 00:22:46.007936,1678.0,2186.0,2
2023-03-13 00:23:07.351810,696.0,1249.0,2
2023-03-13 00:23:28.695684,1154.0,1899.0,2
2023-03-13 00:23:50.039558,271.0,1792.0,2
2023-03-13 00:24:11.383432,1642.0,2128.0,2
2023-03-13 00:24:32.727306,978.0,2910.0,2
2023-03-13 00:24:54.071180,1703.0,2097.0,2
2023-03-13 00:25:15.415054,1233.0,2715.0,2
2023-03-13 00:25:36.758928,952.0,1642.0,2
2023-03-13 00:25:58.102802,2465.0,2272.0,2
