ptime,onid,dnid,prio
2023-03-13 00:00:21.343874,1502.0,2494.0,1
2023-03-13 00:00:42.687748,561.0,974.0,1
2023-03-13 00:01:04.031622,1655.0,1218.0,2
2023-03-13 00:01:25.375496,1157.0,436.0,1
2023-03-13 00:01:46.719370,1840.0,1843.0,2
2023-03-13 00:02:08.063244,563.0,481.0,1
2023-03-13 00:02:29.407118,2079.0,2707.0,2
2023-03-13 00:02:50.750992,916.0,1774.0,1
2023-03-13 00:03:12.094866,1417.0,2351.0,2
2023-03-13 00:03:33.438740,834.0,1365.0,1
2023-03-13 00:03:54.782614,1527.0,2170.0,2
2023-03-13 00:04:16.126488,1124.0,2113.0,1
2023-03-13 00:04:37.470362,2187.0,1301.0,2
2023-03-13 00:04:58.814236,2033.0,2930.0,1
2023-03-13 00:05:20.158110,1598.0,2625.0,2
2023-03-13 00:05:41.501984,1653.0,2895.0,1
2023-03-13 00:06:02.845858,1229.0,408.0,2
2023-03-13 00:06:24.189732,546.0,471.0,1
2023-03-13 00:06:45.533606,376.0,1554.0,2
2023-03-13 00:07:06.877480,2743.0,3179.0,1
2023-03-13 00:07:28.221354,2023.0,1369.0,2
2023-03-13 00:07:49.565228,1668.0,2210.0,1
2023-03-13 00:08:10.909102,2390.0,2815.0,2
2023-03-13 00:08:32.252976,2244.0,2835.0,1
2023-03-13 00:08:53.596850,1145.0,1728.0,2
2023-03-13 00:09:14.940724,2764.0,2020.0,1
2023-03-13 00:09:36.284598,2126.0,2370.0,2
2023-03-13 00:09:57.628472,1598.0,2696.0,1
2023-03-13 00:10:18.972346,481.0,1097.0,2
2023-03-13 00:10:40.316220,2437.0,2192.0,1
2023-03-13 00:11:01.660094,1779.0,2447.0,2
2023-03-13 00:11:23.003968,492.0,1613.0,1
2023-03-13 00:11:44.347842,471.0,901.0,2
2023-03-13 00:12:05.691716,2895.0,2097.0,1
2023-03-13 00:12:27.035590,1393.0,1064.0,2
2023-03-13 00:12:48.379464,1081.0,2437.0,1
2023-03-13 00:13:09.723338,1049.0,2501.0,2
2023-03-13 00:13:31.067212,2166.0,1263.0,1
2023-03-13 00:13:52.411086,1745.0,1107.0,2
2023-03-13 00:14:13.754960,1025.0,3133.0,1
2023-03-13 00:14:35.098834,152.0,42.0,2
2023-03-13 00:14:56.442708,456.0,1166.0,1
2023-03-13 00:15:17.786582,2014.0,2176.0,2
2023-03-13 00:15:39.130456,1655.0,48.0,1
2023-03-13 00:16:00.474330,2769.0,2157.0,2
2023-03-13 00:16:21.818204,2314.0,3352.0,1
2023-03-13 00:16:43.162078,1355.0,1645.0,2
2023-03-13 00:17:04.505952,1892.0,2267.0,1
2023-03-13 00:17:25.849826,2621.0,1867.0,2
2023-03-13 00:17:47.193700,2760.0,2520.0,1
2023-03-13 00:18:08.537574,1690.0,2931.0,2
2023-03-13 00:18:29.881448,1852.0,1596.0,1
2023-03-13 00:18:51.225322,1872.0,1383.0,2
2023-03-13 00:19:12.569196,715.0,1364.0,1
2023-03-13 00:19:33.913070,2426.0,3785.0,2
2023-03-13 00:19:55.256944,2405.0,250.0,1
2023-03-13 00:20:16.600818,2233.0,2552.0,2
2023-03-13 00:20:37.944692,2179.0,3057.0,1
2023-03-13 00:20:59.288566,2089.0,1578.0,2
2023-03-13 00:21:20.632440,1828.0,1383.0,1
2023-03-13 00:21:41.976314,1242.0,417.0,2
2023-03-13 00:22:03.320188,1068.0,32.0,1
2023-03-13 00:22:24.664062,1692.0,1067.0,2
2023-03-13 00:22:46.007936,1698.0,1393.0,1
2023-03-13 00:23:07.351810,2590.0,2232.0,2
2023-03-13 00:23:28.695684,1577.0,2905.0,1
2023-03-13 00:23:50.039558,2083.0,1538.0,2
2023-03-13 00:24:11.383432,1016.0,929.0,1
2023-03-13 00:24:32.727306,1609.0,1231.0,2
2023-03-13 00:24:54.071180,1468.0,524.0,1
2023-03-13 00:25:15.415054,1847.0,420.0,2
2023-03-13 00:25:36.758928,348.0,819.0,1
2023-03-13 00:25:58.102802,1301.0,1351.0,2
2023-03-13 00:26:19.446676,2048.0,2792.0,1
2023-03-13 00:26:40.790550,2155.0,1525.0,2
2023-03-13 00:27:02.134424,988.0,1175.0,1
2023-03-13 00:27:23.478298,2510.0,2086.0,2
2023-03-13 00:27:44.822172,257.0,987.0,1
2023-03-13 00:28:06.166046,1451.0,1346.0,2
2023-03-13 00:28:27.509920,1215.0,1048.0,1
2023-03-13 00:28:48.853794,2404.0,2083.0,2
2023-03-13 00:29:10.197668,1553.0,3034.0,1
2023-03-13 00:29:31.541542,371.0,1427.0,2
2023-03-13 00:29:52.885416,1197.0,987.0,1
2023-03-13 00:30:14.229290,483.0,544.0,2
2023-03-13 00:30:35.573164,2108.0,1476.0,1
2023-03-13 00:30:56.917038,1565.0,1482.0,2
2023-03-13 00:31:18.260912,2926.0,2751.0,1
